in_ojoregex,clean_charge_description,category,subcategory,title,statutes,chapter,gist,description,statute_link,cf_cm,cf_cm_notes,outdated,notes
FALSE,Improper Passing of Stationary Emergency Vehicle,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-314,,Must move over or slow down when passing emergency vehicle,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=391386,TR,NA,NA,NA
FALSE,Passing Through Barrier,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-311,,"Vehicles shall not drive over, across, or within a dividing space",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82289,TR,NA,NA,includes wrong side of road
FALSE,Improper Turn at Intersection,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-601,,requirements for turning at an intersection,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82305,TR,NA,NA,includes improper left turn
FALSE,Littering Flaming or Glowing Substance from MV,Traffic / Motor Vehicles,Basic Traffic Stuff,21,21 O.S. 1753.3,,littering flaming substance from mv,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70100,TR,NA,NA,NA
FALSE,Left of Center,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-305,,left of center/overtaking the left,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82281,TR,NA,NA,NA
FALSE,Failure to Secure Load,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 14-105,,vehicles must be loaded to prevent escaping items or be covered,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82468,TR,NA,NA,NA
FALSE,Allowing Unlicensed Operator to Drive,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 6-305,,MV owner cant permit unauthorized person to drive,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82150,TR,NA,NA,NA
FALSE,Improper Entrance or Exit,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-312,,no driving on controlled-access roadway except at entrances and exits,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82290,TR,NA,NA,NA
FALSE,Handicap Parking,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-1007,,must display valid placecard when using handicap parking,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=436864,CM,NA,NA,NA
FALSE,Defective Muffler,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 12-402,,vehicles shall be equipped and operated to prevent excessive noise,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82428,TR,NA,NA,NA
FALSE,Defective Tires,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 12-405,,specifies acceptable tires for vehicles,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82431,TR,NA,NA,NA
FALSE,Impeding Traffic,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-804,,No driving at slow speed as to impede traffic,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82324,TR,NA,NA,NA
FALSE,Operating Motorcyle Without Proper Endorsements,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 6-101,,class requirements for driver licenses,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82087,TR,NA,NA,NA
FALSE,Wrong Way on One Way Street,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-308,,vehicles must drive only in the direction designated,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82284,TR,NA,NA,NA
FALSE,Over Limit,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 14-103,,"pertains to oversized vehicles/loads, includes height, weight, and length requirements",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=436865,TR,NA,NA,"includes overlength, overwidth"
FALSE,Left of Center in no Passing Zone,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-307,,No passing zones,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82283,TR,NA,NA,NA
FALSE,Failure to Yield From Private Drive,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-404,,vehicles must yield when approaching a highway from private drive,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82295,TR,NA,NA,NA
FALSE,Improper Backing,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-1102,,limitation on backing,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82350,TR,NA,NA,NA
FALSE,Defective Brakes,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 12-301,,brake equipment requirements,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82412,TR,NA,NA,NA
FALSE,Driving Off Roadway When Overtaking on Right,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-304,,rules for overtaking on the right,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82280,TR,NA,NA,NA
FALSE,Leaving Scene Property Damage Only,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 10-103,,vehicles must stop when involved in an accident,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82247,CM,NA,NA,NA
FALSE,Oklahoma Fuel Permit,Traffic / Motor Vehicles,Basic Traffic Stuff,68,68 O.S. 607,,"pertains to trucking, must have permit to transport fuel supply tanks",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440206,TR,NA,NA,NA
